spend_log_sd,seed,channel,metric,value
0.15,26,all,shortfall_from_optimum_share,0.02086088957
0.15,26,all,loss_vs_status_quo_share,0.009148847157
0.15,26,all,n_agreeing,3
0.15,27,tv,relative_bias,-0.1260759435
0.15,27,tv,covered,1
0.15,27,video,relative_bias,-0.6355529124
0.15,27,video,covered,0
0.15,27,search,relative_bias,2.970763318
0.15,27,search,covered,1
0.15,27,social,relative_bias,2.45808577
0.15,27,social,covered,1
0.15,27,ooh,relative_bias,-1
0.15,27,ooh,covered,1
0.15,27,all,median_abs_relative_bias,1
0.15,27,all,spearman,0.2
0.15,27,all,regret,2.423318959
0.15,27,all,beats_status_quo,0
0.15,27,all,achievable_lift_share,0.01172639322
0.15,27,all,shortfall_from_optimum_share,0.02841679102
0.15,27,all,loss_vs_status_quo_share,0.0166903978
0.15,27,all,n_agreeing,3
0.15,28,tv,relative_bias,0.08797273649
0.15,28,tv,covered,1
0.15,28,video,relative_bias,1.212632471
0.15,28,video,covered,0
0.15,28,search,relative_bias,0.08826394641
0.15,28,search,covered,1
0.15,28,social,relative_bias,0.6198236244
0.15,28,social,covered,1
0.15,28,ooh,relative_bias,-1
0.15,28,ooh,covered,0
0.15,28,all,median_abs_relative_bias,0.6198236244
0.15,28,all,spearman,0.9
0.15,28,all,regret,0.7016363301
0.15,28,all,beats_status_quo,1
0.15,28,all,achievable_lift_share,0.01159605955
0.15,28,all,shortfall_from_optimum_share,0.008136216665
0.15,28,all,loss_vs_status_quo_share,-0.003459842883
0.15,28,all,n_agreeing,3
0.15,29,tv,relative_bias,-0.4476828574
0.15,29,tv,covered,0
0.15,29,video,relative_bias,-0.5902541006
0.15,29,video,covered,0
0.15,29,search,relative_bias,-0.7545190687
0.15,29,search,covered,0
0.15,29,social,relative_bias,-0.2788308198
0.15,29,social,covered,1
0.15,29,ooh,relative_bias,0.8386579356
0.15,29,ooh,covered,1
0.15,29,all,median_abs_relative_bias,0.5902541006
0.15,29,all,spearman,0.7
0.15,29,all,regret,5.302920948
0.15,29,all,beats_status_quo,0
0.15,29,all,achievable_lift_share,0.01164683894
0.15,29,all,shortfall_from_optimum_share,0.06176226619
0.15,29,all,loss_vs_status_quo_share,0.05011542725
0.15,29,all,n_agreeing,3
0.15,30,tv,relative_bias,-0.2730456042
0.15,30,tv,covered,0
0.15,30,video,relative_bias,-0.3826290018
0.15,30,video,covered,0
0.15,30,search,relative_bias,-0.6386526714
0.15,30,search,covered,0
0.15,30,social,relative_bias,-1
0.15,30,social,covered,0
0.15,30,ooh,relative_bias,3.951867157
0.15,30,ooh,covered,0
0.15,30,all,median_abs_relative_bias,0.6386526714
0.15,30,all,spearman,0.4
0.15,30,all,regret,5.771503645
0.15,30,all,beats_status_quo,0
0.15,30,all,achievable_lift_share,0.0118450015
0.15,30,all,shortfall_from_optimum_share,0.06836346932
0.15,30,all,loss_vs_status_quo_share,0.05651846782
0.15,30,all,n_agreeing,3
0.15,31,tv,relative_bias,0.05569804237
0.15,31,tv,covered,1
0.15,31,video,relative_bias,-0.4562848814
0.15,31,video,covered,0
0.15,31,search,relative_bias,-0.1321165697
0.15,31,search,covered,1
0.15,31,social,relative_bias,-0.005844616445
0.15,31,social,covered,1
0.15,31,ooh,relative_bias,-1
0.15,31,ooh,covered,1
0.15,31,all,median_abs_relative_bias,0.1321165697
0.15,31,all,spearman,0.7
0.15,31,all,regret,1.656503722
0.15,31,all,beats_status_quo,0
0.15,31,all,achievable_lift_share,0.01179236504
0.15,31,all,shortfall_from_optimum_share,0.01953409658
0.15,31,all,loss_vs_status_quo_share,0.007741731538
0.15,31,all,n_agreeing,3
0.15,32,tv,relative_bias,-0.6477389495
0.15,32,tv,covered,0
0.15,32,video,relative_bias,0.5240775856
0.15,32,video,covered,1
0.15,32,search,relative_bias,0.4017512051
0.15,32,search,covered,1
0.15,32,social,relative_bias,-0.1884682022
0.15,32,social,covered,1
0.15,32,ooh,relative_bias,0.2943755149
0.15,32,ooh,covered,1
0.15,32,all,median_abs_relative_bias,0.4017512051
0.15,32,all,spearman,0.7
0.15,32,all,regret,5.907934645
0.15,32,all,beats_status_quo,0
0.15,32,all,achievable_lift_share,0.01166041631
0.15,32,all,shortfall_from_optimum_share,0.06888897752
0.15,32,all,loss_vs_status_quo_share,0.0572285612
0.15,32,all,n_agreeing,3
0.15,33,tv,relative_bias,-0.6865914858
0.15,33,tv,covered,0
0.15,33,video,relative_bias,0.2991595343
0.15,33,video,covered,1
0.15,33,search,relative_bias,-0.1348010806
0.15,33,search,covered,1
0.15,33,social,relative_bias,-0.7097970813
0.15,33,social,covered,0
0.15,33,ooh,relative_bias,0.5519806755
0.15,33,ooh,covered,1
0.15,33,all,median_abs_relative_bias,0.5519806755
0.15,33,all,spearman,0.6
0.15,33,all,regret,4.669095155
0.15,33,all,beats_status_quo,0
0.15,33,all,achievable_lift_share,0.01188744513
0.15,33,all,shortfall_from_optimum_share,0.05550361245
0.15,33,all,loss_vs_status_quo_share,0.04361616732
0.15,33,all,n_agreeing,3
0.15,34,tv,relative_bias,0.8464670268
0.15,34,tv,covered,0
0.15,34,video,relative_bias,0.1184334299
0.15,34,video,covered,1
0.15,34,search,relative_bias,-0.4835550704
0.15,34,search,covered,0
0.15,34,social,relative_bias,0.6315759575
0.15,34,social,covered,1
0.15,34,ooh,relative_bias,-0.9982932748
0.15,34,ooh,covered,1
0.15,34,all,median_abs_relative_bias,0.6315759575
0.15,34,all,spearman,0.9
0.15,34,all,regret,0.06748546039
0.15,34,all,beats_status_quo,1
0.15,34,all,achievable_lift_share,0.01196132619
0.15,34,all,shortfall_from_optimum_share,0.0008072156046
0.15,34,all,loss_vs_status_quo_share,-0.01115411058
0.15,34,all,n_agreeing,3
0.15,35,tv,relative_bias,1.360794353
0.15,35,tv,covered,0
0.15,35,video,relative_bias,1.90544828
0.15,35,video,covered,0
0.15,35,search,relative_bias,-0.003395416086
0.15,35,search,covered,1
0.15,35,social,relative_bias,-0.5382836033
0.15,35,social,covered,0
0.15,35,ooh,relative_bias,3.858795056
0.15,35,ooh,covered,0
0.15,35,all,median_abs_relative_bias,1.360794353
0.15,35,all,spearman,0.7
0.15,35,all,regret,4.872856673
0.15,35,all,beats_status_quo,0
0.15,35,all,achievable_lift_share,0.01179022712
0.15,35,all,shortfall_from_optimum_share,0.05745208689
0.15,35,all,loss_vs_status_quo_share,0.04566185977
0.15,35,all,n_agreeing,3
0.15,36,tv,relative_bias,0.5721660336
0.15,36,tv,covered,1
0.15,36,video,relative_bias,0.07602426716
0.15,36,video,covered,1
0.15,36,search,relative_bias,-0.8142327117
0.15,36,search,covered,0
0.15,36,social,relative_bias,3.628367161
0.15,36,social,covered,0
0.15,36,ooh,relative_bias,0.1326248843
0.15,36,ooh,covered,1
0.15,36,all,median_abs_relative_bias,0.5721660336
0.15,36,all,spearman,0.5
0.15,36,all,regret,5.271661574
0.15,36,all,beats_status_quo,0
0.15,36,all,achievable_lift_share,0.01157508025
0.15,36,all,shortfall_from_optimum_share,0.06101990575
0.15,36,all,loss_vs_status_quo_share,0.04944482551
0.15,36,all,n_agreeing,3
0.15,37,tv,relative_bias,-0.4412481788
0.15,37,tv,covered,0
0.15,37,video,relative_bias,-0.05996365122
0.15,37,video,covered,1
0.15,37,search,relative_bias,0.7836360039
0.15,37,search,covered,1
