series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,1,1.863050826,101.9319381,30.9577323,70776.95227,0.3613828893
noisy,1,2.017007261,110.3552605,30.95476135,68993.62148,0.3270808185
noisy,1,2.183686153,119.4746588,30.95220234,67337.25727,0.2952209289
noisy,1,2.364138845,129.3476544,30.9500217,65799.07375,0.265634225
noisy,1,2.559503557,140.0365221,30.94818634,64370.88181,0.2381631908
noisy,1,2.771012572,151.6086829,30.94666397,63045.04744,0.2126609876
noisy,1,3,164.1371293,30.94542348,61814.45338,0.1889907158
noisy,1.1,0.3,16.41371293,31.20992659,178313.8277,2.429836777
noisy,1.1,0.3247910202,17.77008856,31.19045105,167847.1938,2.228512818
noisy,1.1,0.3516306893,19.23855064,31.17141793,158190.0318,2.042758915
noisy,1.1,0.380688301,20.82836163,31.15292683,149276.7757,1.87131392
noisy,1.1,0.4121471388,22.5495494,31.13507058,141047.6132,1.713027349
noisy,1.1,0.4462056322,24.41297052,31.11793361,133447.9624,1.566849332
noisy,1.1,0.4830786083,26.43037866,31.10159053,126427.99,1.431821332
noisy,1.1,0.5229986467,28.61449883,31.08610506,119942.1678,1.307067622
noisy,1.1,0.5662175466,30.97910756,31.07152928,113948.8667,1.191787474
noisy,1.1,0.6130079154,33.53911982,31.05790317,108409.9866,1.085248037
noisy,1.1,0.6636648873,36.31068314,31.04525454,103290.6199,0.9867778711
noisy,1.1,0.718507986,39.3112794,31.03359923,98558.74789,0.8957611011
noisy,1.1,0.7778831392,42.55983514,31.02294154,94184.96686,0.8116321513
noisy,1.1,0.8421648612,46.07684091,31.01327491,90142.24247,0.733871021
noisy,1.1,0.9117586147,49.88448055,31.00390599,86405.69003,0.6619990572
noisy,1.1,0.9871033687,54.00677109,30.99463555,82952.37816,0.5955751785
noisy,1.1,1.068674367,58.46971426,30.98627543,79761.15368,0.534192507
noisy,1.1,1.156986126,63.30146048,30.97879489,76812.4854,0.4774753638
noisy,1.1,1.252595681,68.53248642,30.97215705,74088.32467,0.4250765859
noisy,1.1,1.356106097,74.19578726,30.96631993,71571.98059,0.3766751266
noisy,1.1,1.468170276,80.32708479,30.96123749,69248.00822,0.3319739051
noisy,1.1,1.589495072,86.96505272,30.95686067,67102.10796,0.2906978711
noisy,1.1,1.720845753,94.15156064,30.95313835,65121.03488,0.2525922603
noisy,1.1,1.863050826,101.9319381,30.95001827,63292.51654,0.2174210144
noisy,1.1,2.017007261,110.3552605,30.9474479,61605.17842,0.1849653467
noisy,1.1,2.183686153,119.4746588,30.94537516,60048.47595,0.1550224341
noisy,1.1,2.364138845,129.3476544,30.94374917,58612.63246,0.1274042237
noisy,1.1,2.559503557,140.0365221,30.94252073,57288.58226,0.1019363385
noisy,1.1,2.771012572,151.6086829,30.94164288,56067.91845,0.0784570735
noisy,1.1,3,164.1371293,30.94107125,54942.84498,0.05681647268
noisy,1.2,0.3,16.41371293,31.25566461,176730.255,2.399377021
noisy,1.2,0.3247910202,17.77008856,31.23086045,165354.7181,2.180570463
noisy,1.2,0.3516306893,19.23855064,31.20662282,154922.5362,1.979909183
noisy,1.2,0.380688301,20.82836163,31.18310485,145351.0594,1.795803419
noisy,1.2,0.4121471388,22.5495494,31.16044896,136565.6102,1.626816768
noisy,1.2,0.4462056322,24.41297052,31.13878385,128498.684,1.471650785
noisy,1.2,0.4830786083,26.43037866,31.11822199,121089.2135,1.329130856
noisy,1.2,0.5229986467,28.61449883,31.09885775,114281.8991,1.198193296
noisy,1.2,0.5662175466,30.97910756,31.08076617,108026.5989,1.077873639
noisy,1.2,0.6130079154,33.53911982,31.06400244,102277.7804,0.9672960719
noisy,1.2,0.6636648873,36.31068314,31.04860193,96994.02791,0.8656639728
noisy,1.2,0.718507986,39.3112794,31.03458085,92137.60478,0.7722514827
noisy,1.2,0.7778831392,42.55983514,31.0219373,87674.0657,0.6863960519
noisy,1.2,0.8421648612,46.07684091,31.01065271,83571.9154,0.6074918742
noisy,1.2,0.9117586147,49.88448055,30.99950793,79802.30924,0.5349841273
noisy,1.2,0.9871033687,54.00677109,30.98902583,76338.79094,0.4683639298
noisy,1.2,1.068674367,58.46971426,30.97976012,73157.06323,0.4071639272
noisy,1.2,1.156986126,63.30146048,30.9716573,70234.78667,0.3509544241
noisy,1.2,1.252595681,68.53248642,30.96465568,67551.40287,0.2993399836
noisy,1.2,1.356106097,74.19578726,30.95868705,65087.97842,0.2519564247
noisy,1.2,1.468170276,80.32708479,30.95367836,62827.06634,0.2084681574
noisy,1.2,1.589495072,86.96505272,30.94955337,60752.58233,0.1685658029
noisy,1.2,1.720845753,94.15156064,30.94623414,58849.69366,0.1319640564
noisy,1.2,1.863050826,101.9319381,30.94364245,57104.71887,0.09839975686
noisy,1.2,2.017007261,110.3552605,30.94170102,55505.03663,0.06763013538
noisy,1.2,2.183686153,119.4746588,30.94033466,54039.00279,0.03943121863
noisy,1.2,2.364138845,129.3476544,30.93947118,52695.8745,0.01359636961
noisy,1.2,2.559503557,140.0365221,30.93904217,51465.74067,-0.01006504975
noisy,1.2,2.771012572,151.6086829,30.93898358,50339.45815,-0.03172890638
noisy,1.2,3,164.1371293,30.93923616,49308.59306,-0.05155742462
noisy,1.3,0.3,16.41371293,31.30904077,176286.1087,2.390833941
noisy,1.3,0.3247910202,17.77008856,31.27797225,163971.7095,2.153968523
noisy,1.3,0.3516306893,19.23855064,31.2475964,152743.4403,1.937994635
noisy,1.3,0.380688301,20.82836163,31.21814176,142499.0577,1.740945641
noisy,1.3,0.4121471388,22.5495494,31.18982071,133147.1149,1.561062579
noisy,1.3,0.4462056322,24.41297052,31.16282413,124605.7717,1.396771267
noisy,1.3,0.4830786083,26.43037866,31.13731699,116801.7064,1.246661369
noisy,1.3,0.5229986467,28.61449883,31.11343525,109669.1271,1.109467394
noisy,1.3,0.5662175466,30.97910756,31.09128398,103148.8835,0.9840515948
noisy,1.3,0.6130079154,33.53911982,31.07093683,97187.67412,0.8693887254
noisy,1.3,0.6636648873,36.31068314,31.05243656,91737.34716,0.764552594
noisy,1.3,0.718507986,39.3112794,31.03579657,86754.28941,0.6687043081
noisy,1.3,0.7778831392,42.55983514,31.02100316,82198.89683,0.5810820906
noisy,1.3,0.8421648612,46.07684091,31.00801826,78035.11899,0.5009925173
noisy,1.3,0.9117586147,49.88448055,30.99506467,74230.06887,0.4278030119
noisy,1.3,0.9871033687,54.00677109,30.98340754,70753.68939,0.3609354316
noisy,1.3,1.068674367,58.46971426,30.97332728,67578.46794,0.2998605757
noisy,1.3,1.156986126,63.30146048,30.96473862,64679.19101,0.244093467
noisy,1.3,1.252595681,68.53248642,30.95754593,62032.73187,0.1931892662
noisy,1.3,1.356106097,74.19578726,30.95164581,59617.86504,0.1467397048
noisy,1.3,1.468170276,80.32708479,30.94692965,57415.10265,0.1043699372
noisy,1.3,1.589495072,86.96505272,30.94328598,55406.54869,0.06573573622
noisy,1.3,1.720845753,94.15156064,30.94060272,53575.76776,0.03052097008
noisy,1.3,1.863050826,101.9319381,30.93876911,51907.6663,-0.001564683735
noisy,1.3,2.017007261,110.3552605,30.93767753,50388.38413,-0.03078782337
noisy,1.3,2.183686153,119.4746588,30.93722497,49005.19524,-0.05739323119
noisy,1.3,2.364138845,129.3476544,30.93731428,47746.41676,-0.08160562562
noisy,1.3,2.559503557,140.0365221,30.93785507,46601.3252,-0.1036312711
noisy,1.3,2.771012572,151.6086829,30.93876443,45560.07953,-0.1236594581
noisy,1.3,3,164.1371293,30.93996729,44613.65046,-0.1418638636
noisy,1.4,0.3,16.41371293,31.36375846,176717.0458,2.399122943
noisy,1.4,0.3247910202,17.77008856,31.33058376,163443.9934,2.143817992
noisy,1.4,0.3516306893,19.23855064,31.29484243,151407.117,1.912290679
noisy,1.4,0.380688301,20.82836163,31.258461,140482.0408,1.702148658
