max_multiplier,seed,regret,beats_status_quo,achievable_lift_share,channels_on_upper_bound,channels_zeroed_model,channels_zeroed_truth
1.5,186,3.121270349,0,0.01077676742,1,1,1
1.5,187,0.8410217734,1,0.01230182956,0,0,1
1.5,188,0.6182511814,1,0.01166907065,1,0,1
1.5,189,1.014005218,0,0.01136295142,1,2,1
1.5,190,1.213012549,0,0.01119580091,1,1,1
1.5,191,0.6421632505,1,0.01198028689,0,0,1
1.5,192,0.2505614914,1,0.01107538097,0,1,1
1.5,193,3.554185664,0,0.0113039544,3,1,1
1.5,194,2.361788411,0,0.01189185666,1,1,1
1.5,195,1.117820376,0,0.01189371967,0,0,1
1.5,196,0.1106921743,1,0.01165921257,0,1,1
1.5,197,2.185271962,0,0.01128743049,1,2,1
1.5,198,4.528870355,0,0.01232145745,4,0,1
1.5,199,1.368686275,0,0.01235864325,1,1,1
2.0,0,2.915486134,0,0.01173353762,0,1,1
2.0,1,4.195505219,0,0.0120633535,1,2,1
2.0,2,1.061776219,0,0.01114675476,0,2,1
2.0,3,2.577638864,0,0.01169833353,0,2,1
2.0,4,3.047839007,0,0.01175862172,1,1,1
2.0,5,2.810435077,0,0.01130641941,0,2,1
2.0,6,3.773132754,0,0.01160322499,1,1,1
2.0,7,0.2413624374,1,0.01194560754,0,1,1
2.0,8,2.580973138,0,0.01098918845,0,1,1
2.0,9,5.410808918,0,0.011340044,1,2,1
2.0,10,2.690724138,0,0.01177286186,1,1,1
2.0,11,2.780239462,0,0.0114725504,0,1,1
2.0,12,3.99269783,0,0.0112791428,1,1,1
2.0,13,5.605118668,0,0.01117413009,2,1,1
2.0,14,4.725312734,0,0.01056962944,1,2,1
2.0,15,1.308136853,0,0.01194550317,0,1,1
2.0,16,0.1640974139,1,0.01084632798,0,1,1
2.0,17,2.864106184,0,0.01170671204,0,1,1
2.0,18,0.4570706481,1,0.01159099473,0,1,1
2.0,19,1.417524402,0,0.01152233558,0,1,1
2.0,20,2.213923627,0,0.01230071522,0,2,1
2.0,21,1.591534654,0,0.01115099576,0,0,1
2.0,22,5.256592289,0,0.01158522536,1,2,1
2.0,23,0.808548977,1,0.01136428685,0,0,1
2.0,24,3.60164383,0,0.01168126924,0,2,1
2.0,25,5.326018778,0,0.01126043056,0,2,1
2.0,26,1.677811647,0,0.01134785591,0,0,1
2.0,27,2.727966041,0,0.01132966693,0,1,1
2.0,28,5.545879452,0,0.01116880493,1,2,1
2.0,29,5.31165994,0,0.01124139665,0,2,1
2.0,30,3.743483645,0,0.01160447672,1,1,1
2.0,31,2.20969726,0,0.01152528026,0,2,1
2.0,32,5.631246182,0,0.01131595334,1,1,1
2.0,33,1.089069725,0,0.01181595628,0,1,1
2.0,34,0.06347070178,1,0.01186197486,0,1,1
2.0,35,5.091328909,0,0.01151289765,1,3,1
2.0,36,4.177209819,0,0.01119246295,2,1,1
2.0,37,0.06294420969,1,0.01180916542,0,1,1
2.0,38,5.950122173,0,0.01146325459,1,1,1
2.0,39,1.273554948,0,0.01182707987,0,1,1
2.0,40,4.374596511,0,0.01189563699,1,2,1
2.0,41,1.513871378,0,0.0115882317,0,1,1
2.0,42,0.4589065373,1,0.0124976568,0,0,1
2.0,43,3.642236135,0,0.01194445171,1,3,1
2.0,44,2.983122352,0,0.01076345184,0,2,1
2.0,45,2.301981762,0,0.01146754301,0,1,1
2.0,46,2.471067358,0,0.01122943695,0,1,1
2.0,47,1.413660177,0,0.01155365328,0,1,1
2.0,48,0.9439512495,1,0.01153939776,0,2,1
2.0,49,2.550299193,0,0.01134157495,0,1,1
2.0,50,1.650928687,0,0.01227667974,0,2,1
2.0,51,0.4582310556,1,0.01136857506,0,1,1
2.0,52,1.186578536,0,0.01121135809,1,1,1
